=== Case 0 ===
  Agent: Planner
  step 0: [1:0.3580, user:0.1162, \n\n:0.0622, 俍:0.0377, 0:0.0259]
  step 25: [.:0.1409,  is:0.0968, ,:0.0968,  to:0.0754, \n\n:0.0404]
  step 26: [.:0.1515, ,:0.1041,  is:0.0919,  to:0.0716, \n\n:0.0383]
  step 27: [.:0.1497,  is:0.1029, ,:0.1029,  to:0.0707, \n\n:0.0378]
  step 28: [.:0.1490,  is:0.1024, ,:0.1024,  to:0.0704, \n\n:0.0377]
  step 29: [.:0.1446, ,:0.1126,  is:0.0994,  to:0.0683, \n\n:0.0366]
  step 30: [.:0.1554, ,:0.1068,  is:0.0943,  to:0.0648, \n\n:0.0347]
  step 31: [.:0.1541, ,:0.1059,  is:0.0935,  to:0.0642, \n\n:0.0344]
  step 32: [.:0.1491, ,:0.1025,  is:0.0904,  to:0.0622, \n\n:0.0333]
  step 33: [.:0.1444, ,:0.1124,  is:0.0876,  to:0.0682, \n\n:0.0322]
  step 34: [.:0.1455, ,:0.1133,  is:0.0883,  to:0.0607, \n\n:0.0325]
  step 35: [.:0.1600, ,:0.1099,  is:0.0856,  to:0.0588, \n\n:0.0357]
  step 36: [.:0.1531, ,:0.1052,  is:0.0929,  to:0.0638, \n\n:0.0342]
  step 37: [.:0.1517, ,:0.1043,  is:0.0920,  to:0.0632, ?:0.0339]
  step 38: [.:0.1560, ,:0.1072,  is:0.0835,  to:0.0574, ?:0.0348]
  step 39: [.:0.1479, ,:0.1016,  is:0.0897,  to:0.0616, ?:0.0330]

=== Case 82 ===
  Agent: Critic
  step 0: [Human:0.4824, A:0.0396, The:0.0272, Given:0.0240, Write:0.0240]
  step 1: [\n\n:0.6084,  the:0.0933, <space>:0.0414, ::0.0365,  a:0.0303]
  step 2: [\n\n:0.2724,  is:0.0831, <space>:0.0831, .:0.0473, \n:0.0287]
  step 3: [\n\n:0.1658, <space>:0.1213,  the:0.0736, .:0.0419,  is:0.0394]
  step 4: [<space>:0.1829, \n\n:0.1829, .:0.0558,  the:0.0524, \t:0.0248]
  step 5: [\n\n:0.1777, \n:0.0509, <space>:0.0449, .:0.0256, ,:0.0256]
  step 6: [\n\n:0.1501, \n:0.0430, <space>:0.0404,  the:0.0245, .:0.0245]
  step 7: [\n\n:0.1347, \n:0.0411, <space>:0.0386,  the:0.0249, .:0.0249]
  step 8: [\n\n:0.1228, <space>:0.0399, \n:0.0399, .:0.0257, h:0.0242]
  step 9: [\n\n:0.1235, <space>:0.0401, \n:0.0377, .:0.0259, ,:0.0228]
  step 10: [\n\n:0.1144, <space>:0.0395, \n:0.0349, .:0.0255, ,:0.0225]
  step 11: [\n\n:0.1051, <space>:0.0363, \n:0.0341, .:0.0266, h:0.0234]
  step 12: [\n\n:0.1010, <space>:0.0372, \n:0.0328, .:0.0272, h:0.0255]
  step 13: [\n\n:0.0946, <space>:0.0370, \n:0.0307, .:0.0289, h:0.0239]
  step 14: [\n\n:0.0897, <space>:0.0398, \n:0.0310, .:0.0274, ,:0.0227]
  step 15: [\n\n:0.0902, <space>:0.0353, \n:0.0293, .:0.0275, h:0.0243]
  step 16: [\n\n:0.0780, <space>:0.0346, .:0.0287, \n:0.0269, ,:0.0223]
  step 17: [\n\n:0.0783, <space>:0.0370, .:0.0288, \n:0.0271, ,:0.0224]
  step 18: [\n\n:0.0764, <space>:0.0361, .:0.0281, \n:0.0264, ,:0.0233]
  step 19: [\n\n:0.0713, <space>:0.0359, .:0.0297, \n:0.0246, ,:0.0231]
  step 20: [\n\n:0.0704, <space>:0.0354, .:0.0294, \n:0.0243, ,:0.0229]
  step 21: [\n\n:0.0653, <space>:0.0349, .:0.0290, \n:0.0240, ,:0.0226]
  step 22: [\n\n:0.0634, <space>:0.0339, .:0.0299, \n:0.0219, ,:0.0219]
  step 23: [\n\n:0.0626, <space>:0.0335, .:0.0296, ,:0.0230, \n:0.0216]
  step 24: [\n\n:0.0613, <space>:0.0349, .:0.0308,  th:0.0226, ,:0.0226]
  step 25: [\n\n:0.0595, <space>:0.0339, .:0.0299,  th:0.0219, ,:0.0219]
  step 26: [\n\n:0.0569, <space>:0.0345, .:0.0305,  th:0.0223, ,:0.0223]
  step 27: [\n\n:0.0554, <space>:0.0336, .:0.0297,  th:0.0231, ,:0.0231]
  step 28: [\n\n:0.0523, <space>:0.0338, .:0.0298,  th:0.0232, ,:0.0218]
  step 29: [\n\n:0.0519, <space>:0.0335, .:0.0296,  th:0.0230, ,:0.0216]
  step 30: [\n\n:0.0502, <space>:0.0324, .:0.0286,  th:0.0237, ,:0.0223]
  step 31: [\n\n:0.0479, <space>:0.0329, .:0.0290,  th:0.0241, ,:0.0226]
  step 32: [\n\n:0.0456, <space>:0.0334, .:0.0295,  th:0.0244, ,:0.0216]
  step 33: [\n\n:0.0453, <space>:0.0311, .:0.0311,  th:0.0242, ,:0.0228]
  step 34: [\n\n:0.0440, <space>:0.0322, .:0.0302,  th:0.0236, ,:0.0236]
  step 35: [\n\n:0.0423, <space>:0.0329, .:0.0309,  th:0.0241, ,:0.0226]
  step 36: [\n\n:0.0407, <space>:0.0317, .:0.0317,  th:0.0247, ,:0.0218]
  step 37: [\n\n:0.0387, <space>:0.0321, .:0.0321,  th:0.0250, ,:0.0235]
  step 38: [\n\n:0.0391, .:0.0324, <space>:0.0304,  th:0.0252, ,:0.0223]
  step 39: [\n\n:0.0380, <space>:0.0315, .:0.0315,  th:0.0246, ,:0.0217]

=== Case 83 ===
  Agent: Critic
  step 0: [Human:0.5895, A:0.0484, Given:0.0259, How:0.0202, In:0.0202]
  step 1: [\n\n:0.5912, .:0.1319, ::0.0402, \n:0.0355,  the:0.0334]
  step 2: [.:0.3217, \n\n:0.2506, \n:0.0674, ,:0.0299, <space>:0.0193]
  step 3: [.:0.3578, \n\n:0.1915, \n:0.0515, <space>:0.0427,  .:0.0294]
  step 4: [\n\n:0.3158, .:0.2787, <space>:0.0705, \n:0.0622,  .:0.0377]
  step 5: [\n\n:0.5253, .:0.1932, \n:0.0554, .\n\n:0.0489, \n\t\n:0.0336]
  step 6: [\n\n:0.5266, .:0.1937, .\n\n:0.0555, \n:0.0490, \n\t\n:0.0337]
  step 7: [\n\n:0.5025, .:0.2095, .\n\n:0.0600, \n:0.0467, \n\t\n:0.0321]
  step 8: [\n\n:0.4919, .:0.2051, .\n\n:0.0588, \n:0.0458, \n\t\n:0.0356]
  step 9: [\n\n:0.4747, .:0.2242, .\n\n:0.0567, \n:0.0442, \n\t\n:0.0344]
  step 10: [\n\n:0.4703, .:0.2222, .\n\n:0.0637, \n:0.0386, \n\t\n:0.0341]
  step 11: [\n\n:0.4604, .:0.2175, .\n\n:0.0706, \n:0.0378, \n\t\n:0.0334]
  step 12: [\n\n:0.4302, .:0.2303, .\n\n:0.0748, \n:0.0376, \n\t\n:0.0353]
  step 13: [\n\n:0.4329, .:0.2317, .\n\n:0.0752, \n:0.0378, \n\t\n:0.0334]
  step 14: [\n\n:0.3937, .:0.2388, .\n\n:0.0775, \n:0.0390, \n\t\n:0.0366]
  step 15: [\n\n:0.4000, .:0.2426, .\n\n:0.0788, \n:0.0350, \n\t\n:0.0328]
  step 16: [\n\n:0.3855, .:0.2338, .\n\n:0.0860, \n\t\n:0.0359, \n:0.0359]
  step 17: [\n\n:0.3754, .:0.2580, .\n\n:0.0838, \n\t\n:0.0349, \n:0.0328]
  step 18: [\n\n:0.3346, .:0.2606, .\n\n:0.0959, \n\t\n:0.0353, \n:0.0331]
  step 19: [\n\n:0.3363, .:0.2619, .\n\n:0.0964, \n\t\n:0.0333, \n:0.0333]
  step 20: [\n\n:0.3339, .:0.2601, .\n\n:0.0957, \n\t\n:0.0331, \n:0.0331]
  step 21: [\n\n:0.3134, .:0.2766, .\n\n:0.1018, \n\t\n:0.0330, \n:0.0310]
  step 22: [\n\n:0.2904, .:0.2904, .\n\n:0.1068, \n\t\n:0.0306, \n:0.0288]
  step 23: [\n\n:0.2769, .:0.2769, .\n\n:0.1154, \n\t\n:0.0331, \n:0.0311]
  step 24: [\n\n:0.2886, .:0.2886, .\n\n:0.1062, \n\t\n:0.0304, \n:0.0286]
  step 25: [.:0.3013, \n\n:0.2659, .\n\n:0.1109, \n:0.0298, \n\t\n:0.0280]
  step 26: [.:0.3146, \n\n:0.2450, .\n\n:0.1157, \n:0.0293, \n\t\n:0.0275]
  step 27: [.:0.2906, \n\n:0.2565, .\n\n:0.1211, \n:0.0288, \n\t\n:0.0270]
  step 28: [.:0.3009, \n\n:0.2343, .\n\n:0.1254, \n:0.0298, \n\t\n:0.0280]
  step 29: [.:0.2998, \n\n:0.2335, .\n\n:0.1250, \n:0.0279, \n\t\n:0.0262]
  step 30: [.:0.3261, \n\n:0.2242, .\n\n:0.1200, \n:0.0285, \n\t\n:0.0251]
  step 31: [.:0.3275, \n\n:0.2251, .\n\n:0.1205, \n:0.0269, \n\t\n:0.0237]
  step 32: [.:0.3102, \n\n:0.2132, .\n\n:0.1293, \n:0.0271, \n\t\n:0.0239]
  step 33: [.:0.3101, \n\n:0.2131, .\n\n:0.1293, \n:0.0271, .\n:0.0239]
  step 34: [.:0.3368, \n\n:0.2043, .\n\n:0.1239, \n:0.0260, .\n:0.0229]
  step 35: [.:0.3345, \n\n:0.2029, .\n\n:0.1231, \n:0.0258, .\n:0.0228]
  step 36: [.:0.3370, \n\n:0.2044, .\n\n:0.1240, \n:0.0260, .\n:0.0229]
  step 37: [.:0.3348, \n\n:0.2031, .\n\n:0.1232, \n:0.0258, .\n:0.0228]
  step 38: [.:0.3257, \n\n:0.1975, .\n\n:0.1358, \n:0.0267, .\n:0.0236]
  step 39: [.:0.3575, \n\n:0.1914, .\n\n:0.1161, \n:0.0259, .\n:0.0229]

=== Case 84 ===
  Agent: Critic
  step 0: [Human:0.5017, Given:0.0529, A:0.0412, In:0.0321, I:0.0283]
  step 1: [ the:0.6622, \n\n:0.2436,  a:0.0544, \n:0.0065,  to:0.0045]
  step 2: [\n\n:0.7862, \n:0.0391, \n\t\n:0.0269, .:0.0210,  the:0.0163]
  step 3: [\n\n:0.7961, \n:0.0509, \n\t\n:0.0396, .:0.0240, <space>:0.0187]
  step 4: [\n\n:0.8272, \n\t\n:0.0529, \n:0.0363, .:0.0250, <space>:0.0172]
  step 5: [\n\n:0.6822, \n:0.0719,  the:0.0362, <space>:0.0340,  to:0.0160]
  step 6: [\n\n:0.5401,  the:0.0569, \n:0.0535,  to:0.0391, <space>:0.0345]
  step 7: [\n\n:0.5110,  the:0.0610, \n:0.0506,  to:0.0419, <space>:0.0348]
  step 8: [\n\n:0.4806,  the:0.0611, \n:0.0507,  to:0.0447, <space>:0.0348]
  step 9: [\n\n:0.4477,  the:0.0606, \n:0.0502,  to:0.0472, <space>:0.0367]
  step 10: [\n\n:0.4278,  the:0.0616, \n:0.0511,  to:0.0451, <space>:0.0374]
  step 11: [\n\n:0.4200,  the:0.0568, \n:0.0471,  to:0.0443, <space>:0.0367]
  step 12: [\n\n:0.3866,  the:0.0593,  to:0.0462, \n:0.0462, 't:0.0408]
  step 13: [\n\n:0.3683,  the:0.0601,  to:0.0468, \n:0.0468, <space>:0.0365]
  step 14: [\n\n:0.3579,  the:0.0584, \n:0.0484,  to:0.0455, <space>:0.0377]
  step 15: [\n\n:0.3558,  the:0.0546,  to:0.0452, \n:0.0425, <space>:0.0375]
  step 16: [\n\n:0.3255,  the:0.0566,  to:0.0469, 't:0.0414, \n:0.0414]
  step 17: [\n\n:0.3317,  the:0.0541,  to:0.0449, 't:0.0396, \n:0.0396]
  step 18: [\n\n:0.3153,  the:0.0515,  to:0.0454, 't:0.0427, \n:0.0401]
  step 19: [\n\n:0.3100,  the:0.0539,  to:0.0447, \n:0.0394, <space>:0.0370]
  step 20: [\n\n:0.2956,  the:0.0514,  to:0.0453, \n:0.0376, .:0.0376]
  step 21: [\n\n:0.2686,  the:0.0529,  to:0.0467, \n:0.0387, .:0.0363]
  step 22: [\n\n:0.2679,  the:0.0496,  to:0.0466, <space>:0.0386, .:0.0363]
  step 23: [\n\n:0.2512,  the:0.0495,  to:0.0465, .:0.0410, <space>:0.0362]
  step 24: [\n\n:0.2573,  the:0.0476,  to:0.0447, .:0.0395, <space>:0.0371]
  step 25: [\n\n:0.2558,  the:0.0504,  to:0.0444, .:0.0392, <space>:0.0368]
  step 26: [\n\n:0.2334,  the:0.0489,  to:0.0432, .:0.0432, <space>:0.0381]
  step 27: [\n\n:0.2321,  the:0.0486, .:0.0457,  to:0.0429, <space>:0.0379]
  step 28: [\n\n:0.2315,  the:0.0456, .:0.0456,  to:0.0428, <space>:0.0378]
  step 29: [\n\n:0.2163,  the:0.0453, .:0.0453,  to:0.0426, <space>:0.0376]
  step 30: [\n\n:0.2132, .:0.0476,  the:0.0447,  to:0.0420, <space>:0.0370]
  step 31: [\n\n:0.1995, .:0.0474,  the:0.0445,  to:0.0418, <space>:0.0369]
  step 32: [\n\n:0.1946, .:0.0492,  the:0.0434,  to:0.0434, <space>:0.0383]
  step 33: [\n\n:0.1986, .:0.0502,  the:0.0416,  to:0.0416, <space>:0.0345]
  step 34: [\n\n:0.1802, .:0.0485,  the:0.0428,  to:0.0428, <space>:0.0355]
  step 35: [\n\n:0.1870, .:0.0503,  the:0.0417,  to:0.0392, <space>:0.0368]
  step 36: [\n\n:0.1824, .:0.0522,  the:0.0407,  to:0.0407, <space>:0.0359]
  step 37: [\n\n:0.1699, .:0.0518,  the:0.0403,  to:0.0403, ,:0.0356]
  step 38: [\n\n:0.1694, .:0.0550,  the:0.0402,  to:0.0402, ,:0.0355]
  step 39: [\n\n:0.1530, .:0.0529,  the:0.0412,  to:0.0412, ,:0.0363]

=== Case 85 ===
  Agent: Critic
  step 0: [Human:0.7213, A:0.0359, Given:0.0170, The:0.0170, Question:0.0150]
  step 1: [\n\n:0.3900, .:0.2087, \n:0.0870,  the:0.0528, ::0.0496]
  step 2: [.:0.3226, \n\n:0.1115, \n:0.0984, ,:0.0385,  for:0.0265]
  step 3: [.:0.2970, \n\n:0.1238, \n:0.0663, <space>:0.0455, ,:0.0402]
  step 4: [.:0.2614, \n\n:0.2307, \n:0.0749, <space>:0.0661, ,:0.0401]
  step 5: [\n\n:0.5590, .:0.2057, \n:0.0757, .\n\n:0.0520, \n\t\n:0.0116]
  step 6: [\n\n:0.5462, .:0.2009, \n:0.0739, .\n\n:0.0576, \n\t\n:0.0128]
  step 7: [\n\n:0.4952, .:0.2339, .\n\n:0.0670, \n:0.0670, ..\n\n:0.0150]
  step 8: [\n\n:0.4947, .:0.2337, .\n\n:0.0670, \n:0.0591, ..\n\n:0.0149]
  step 9: [\n\n:0.4936, .:0.2332, .\n\n:0.0668, \n:0.0590, ..\n\n:0.0149]
  step 10: [\n\n:0.4616, .:0.2471, .\n\n:0.0802, \n:0.0551, ..\n\n:0.0158]
  step 11: [\n\n:0.4566, .:0.2444, .\n\n:0.0793, \n:0.0545, ..\n\n:0.0177]
  step 12: [\n\n:0.4478, .:0.2397, .\n\n:0.0882, \n:0.0535, ..\n\n:0.0174]
  step 13: [\n\n:0.4222, .:0.2561, .\n\n:0.0942, \n:0.0445, ..\n\n:0.0185]
  step 14: [\n\n:0.3929, .:0.2700, .\n\n:0.0993, \n:0.0469, ..\n\n:0.0196]
  step 15: [\n\n:0.4087, .:0.2479, .\n\n:0.1033, \n:0.0431, ..\n\n:0.0204]
  step 16: [\n\n:0.3826, .:0.2630, .\n\n:0.1096, \n:0.0403, ..\n\n:0.0216]
  step 17: [\n\n:0.3569, .:0.2779, .\n\n:0.1159, \n:0.0426, ..\n\n:0.0228]
  step 18: [\n\n:0.3348, .:0.2955, .\n\n:0.1232, \n:0.0400, ..\n\n:0.0214]
  step 19: [\n\n:0.3332, .:0.2940, .\n\n:0.1226, \n:0.0351, ..\n\n:0.0241]
  step 20: [.:0.3022, \n\n:0.3022, .\n\n:0.1260, \n:0.0361, ..\n\n:0.0248]
  step 21: [\n\n:0.3223, .:0.2845, .\n\n:0.1344, \n:0.0340, ..\n\n:0.0233]
  step 22: [.:0.2979, \n\n:0.2979, .\n\n:0.1407, \n:0.0356, ..\n\n:0.0245]
  step 23: [.:0.3004, \n\n:0.3004, .\n\n:0.1419, \n:0.0317, ..\n\n:0.0247]
  step 24: [.:0.3123, \n\n:0.2756, .\n\n:0.1475, \n:0.0329, ..\n\n:0.0256]
  step 25: [.:0.2986, \n\n:0.2635, .\n\n:0.1598, \n:0.0315, .\n:0.0245]
  step 26: [.:0.3000, \n\n:0.2647, .\n\n:0.1606, \n:0.0279, .\n:0.0246]
  step 27: [.:0.3099, \n\n:0.2413, .\n\n:0.1659, \n:0.0288, .\n:0.0254]
  step 28: [.:0.3355, \n\n:0.2306, .\n\n:0.1585, ..\n\n:0.0275, \n:0.0275]
  step 29: [.:0.3212, \n\n:0.2208, .\n\n:0.1719, .\n:0.0264, \n:0.0264]
  step 30: [.:0.3230, \n\n:0.2220, .\n\n:0.1729, .\n:0.0265, \n:0.0265]
  step 31: [.:0.3232, \n\n:0.2221, .\n\n:0.1730, .\n:0.0265, \n:0.0265]
  step 32: [.:0.3238, \n\n:0.2225, .\n\n:0.1733, .\n:0.0266, \n:0.0266]
  step 33: [.:0.3200, \n\n:0.2199, .\n\n:0.1713, .\n:0.0298, \n:0.0263]
  step 34: [.:0.3349, \n\n:0.2031, .\n\n:0.1793, .\n:0.0275, \n:0.0258]
  step 35: [.:0.3253, \n\n:0.1973, .\n\n:0.1741, .\n:0.0303, \n:0.0267]
  step 36: [.:0.3265, \n\n:0.1980, .\n\n:0.1747, .\n:0.0304, \n:0.0268]
  step 37: [.:0.3290, \n\n:0.1996, .\n\n:0.1761, .\n:0.0306, ..\n\n:0.0270]
  step 38: [.:0.3296, \n\n:0.1999, .\n\n:0.1764, .\n:0.0307, ..\n\n:0.0254]
  step 39: [.:0.3372, .\n\n:0.1805, \n\n:0.1805, .\n:0.0314, ..\n\n:0.0260]

=== Case 86 ===
  Agent: Critic
  step 0: [Human:0.6682, A:0.0484, You:0.0294, Given:0.0259, Consider:0.0178]
  step 1: [ the:0.3168, \n\n:0.1028,  a:0.0908,  is:0.0486, .:0.0314]
  step 2: [ the:0.1050, \n\n:0.0927,  that:0.0871,  is:0.0678, .:0.0438]
  step 3: [ the:0.1692,  that:0.1026, \n\n:0.0906,  this:0.0549, <space>:0.0516]
  step 4: [ the:0.1794, \n\n:0.1794,  that:0.1233,  this:0.0582, <space>:0.0582]
  step 5: [.:0.1474, \n\n:0.1301,  is:0.0696, \n:0.0696, ,:0.0696]
  step 6: [\n\n:0.1417, .:0.1417,  is:0.0669, \n:0.0669, ,:0.0669]
  step 7: [.:0.1367, \n\n:0.1367, ,:0.0732,  is:0.0646, \n:0.0646]
  step 8: [.:0.1548, \n\n:0.1205, ,:0.0731,  is:0.0645, \n:0.0645]
  step 9: [.:0.1546, \n\n:0.1204, ,:0.0730,  is:0.0644, \n:0.0644]
  step 10: [.:0.1547, \n\n:0.1063, ,:0.0828,  is:0.0645, \n:0.0569]
  step 11: [.:0.1422, \n\n:0.1107, ,:0.0761,  is:0.0671,  to:0.0593]
  step 12: [.:0.1460, \n\n:0.1003, ,:0.0885,  is:0.0608, \n:0.0537]
  step 13: [.:0.1430, \n\n:0.0983, ,:0.0868,  is:0.0676,  to:0.0596]
  step 14: [.:0.1634, \n\n:0.0874, ,:0.0874,  is:0.0601, \n:0.0530]
  step 15: [.:0.1543, \n\n:0.0936, ,:0.0826,  is:0.0643,  to:0.0568]
  step 16: [.:0.1496, ,:0.0907, \n\n:0.0801,  is:0.0624,  to:0.0624]
  step 17: [.:0.1623, ,:0.0869, \n\n:0.0767,  is:0.0597,  to:0.0597]
  step 18: [.:0.1485, ,:0.0900, \n\n:0.0795,  is:0.0619,  to:0.0619]
  step 19: [.:0.1656, ,:0.0887, \n\n:0.0782,  is:0.0609,  to:0.0609]
  step 20: [.:0.1674, ,:0.0896, \n\n:0.0698,  is:0.0616,  to:0.0616]
  step 21: [.:0.1688, ,:0.0904, \n\n:0.0704,  is:0.0621,  to:0.0548]
  step 22: [.:0.1486, ,:0.0901, \n\n:0.0702,  is:0.0619,  to:0.0619]
  step 23: [.:0.1504, ,:0.0912, \n\n:0.0710,  is:0.0627,  to:0.0627]
  step 24: [.:0.1621, ,:0.0983, \n\n:0.0676,  is:0.0596,  to:0.0596]
  step 25: [.:0.1579, ,:0.0958, \n\n:0.0658,  is:0.0581,  to:0.0581]
  step 26: [.:0.1709, ,:0.0915, \n\n:0.0629,  is:0.0555,  to:0.0555]
  step 27: [.:0.1700, ,:0.0910, \n\n:0.0626,  to:0.0626,  is:0.0552]
  step 28: [.:0.1572, ,:0.0953, \n\n:0.0655,  is:0.0578,  to:0.0578]
  step 29: [.:0.1527, ,:0.0926, \n\n:0.0636,  to:0.0636,  is:0.0562]
  step 30: [.:0.1669, ,:0.0893, \n\n:0.0614,  to:0.0614,  is:0.0542]
  step 31: [.:0.1589, ,:0.0964,  is:0.0585,  to:0.0585, \n\n:0.0585]
  step 32: [.:0.1639, ,:0.0877, \n\n:0.0603,  to:0.0603,  is:0.0532]
  step 33: [.:0.1577, ,:0.0956,  is:0.0580,  to:0.0580, \n\n:0.0580]
  step 34: [.:0.1624, ,:0.0985, \n\n:0.0597,  to:0.0597,  is:0.0527]
  step 35: [.:0.1615, ,:0.0980,  to:0.0594,  is:0.0594, \n\n:0.0524]
  step 36: [.:0.1563, ,:0.0948,  to:0.0652,  is:0.0575, \n\n:0.0575]
  step 37: [.:0.1607, ,:0.0975, \n\n:0.0591,  to:0.0591,  is:0.0522]
  step 38: [.:0.1521, ,:0.0923,  to:0.0634,  is:0.0560, \n\n:0.0560]
  step 39: [.:0.1610, ,:0.0977,  to:0.0592,  is:0.0523, \n\n:0.0523]

=== Case 87 ===
  Agent: Critic
  step 0: [Human:0.5208, A:0.0333, Write:0.0294, In:0.0259, Question:0.0229]
  step 1: [\n\n:0.4817,  the:0.0575,  you:0.0508, <space>:0.0508,  is:0.0289]
  step 2: [\n\n:0.2178, <space>:0.0707,  is:0.0517,  you:0.0486,  the:0.0403]
  step 3: [ the:0.1126, \n\n:0.0824, <space>:0.0774,  you:0.0566,  tom:0.0470]
  step 4: [ the:0.1646, \n\n:0.1131, <space>:0.0938,  you:0.0606, \t:0.0345]
  step 5: [\n\n:0.0893,  to:0.0741, .:0.0741, ,:0.0654, \n:0.0478]
  step 6: [\n\n:0.0758,  to:0.0712, .:0.0712, ,:0.0628, \n:0.0432]
  step 7: [\n\n:0.0734,  to:0.0690, .:0.0690, ,:0.0648, \n:0.0369]
  step 8: [.:0.0707, \n\n:0.0707,  to:0.0664, ,:0.0664, \n:0.0378]
  step 9: [.:0.0686, \n\n:0.0686,  to:0.0644, ,:0.0644, \n:0.0367]
  step 10: [.:0.0722,  to:0.0637, ,:0.0637, \n\n:0.0637, \n:0.0363]
  step 11: [.:0.0700, \n\n:0.0618, ,:0.0618,  to:0.0580, \n:0.0352]
  step 12: [.:0.0722, ,:0.0637, \n\n:0.0598,  to:0.0598, \n:0.0341]
  step 13: [.:0.0723, ,:0.0638, \n\n:0.0563,  to:0.0563,  the:0.0341]
  step 14: [.:0.0703, ,:0.0620, \n\n:0.0547,  to:0.0514,  the:0.0312]
  step 15: [.:0.0699, ,:0.0617, \n\n:0.0544,  to:0.0511,  the:0.0310]
  step 16: [.:0.0707, ,:0.0624, \n\n:0.0517,  to:0.0517,  the:0.0314]
  step 17: [.:0.0724, ,:0.0600, \n\n:0.0497,  to:0.0497,  the:0.0302]
  step 18: [.:0.0700, ,:0.0617,  to:0.0481, \n\n:0.0452,  the:0.0310]
  step 19: [.:0.0704, ,:0.0621, \n\n:0.0454,  to:0.0454,  the:0.0312]
  step 20: [.:0.0694, ,:0.0612, \n\n:0.0448,  to:0.0448,  the:0.0289]
  step 21: [.:0.0707, ,:0.0586,  to:0.0457, \n\n:0.0429,  the:0.0295]
  step 22: [.:0.0731, ,:0.0569,  to:0.0444, \n\n:0.0417,  the:0.0286]
  step 23: [.:0.0722, ,:0.0598,  to:0.0438, \n\n:0.0411,  the:0.0283]
  step 24: [.:0.0700, ,:0.0580,  to:0.0425, \n\n:0.0399,  the:0.0292]
  step 25: [.:0.0696, ,:0.0577, \n\n:0.0396,  to:0.0396,  the:0.0272]
  step 26: [.:0.0706, ,:0.0550,  to:0.0402, \n\n:0.0378,  the:0.0276]
  step 27: [.:0.0713, ,:0.0555, \n\n:0.0382,  to:0.0382,  the:0.0279]
  step 28: [.:0.0699, ,:0.0580,  to:0.0398, \n\n:0.0374,  the:0.0274]
  step 29: [.:0.0666, ,:0.0552,  to:0.0379, \n\n:0.0357,  the:0.0278]
  step 30: [.:0.0667, ,:0.0553, \n\n:0.0357,  to:0.0357,  the:0.0261]
  step 31: [.:0.0701, ,:0.0581, \n\n:0.0353,  to:0.0353,  the:0.0275]
  step 32: [.:0.0670, ,:0.0555,  to:0.0382, \n\n:0.0337,  the:0.0262]
  step 33: [.:0.0712, ,:0.0554, \n\n:0.0358,  to:0.0358,  the:0.0262]
  step 34: [.:0.0701, ,:0.0582,  to:0.0353, \n\n:0.0331,  the:0.0258]
  step 35: [.:0.0711, ,:0.0554, \n\n:0.0336,  to:0.0336,  the:0.0262]
  step 36: [.:0.0750, ,:0.0584, \n\n:0.0333,  to:0.0333,  the:0.0259]
  step 37: [.:0.0755, ,:0.0553, \n\n:0.0335,  to:0.0335,  the:0.0261]
  step 38: [.:0.0728, ,:0.0567, \n\n:0.0323,  to:0.0323,  the:0.0252]
  step 39: [.:0.0710, ,:0.0553, \n\n:0.0335,  to:0.0335,  the:0.0261]

=== Case 88 ===
  Agent: Critic
  step 0: [Human:0.6646, A:0.0375, Question:0.0177, The:0.0177, In:0.0177]
  step 1: [\n\n:0.6836, .:0.0816, \n:0.0320, ::0.0206,  the:0.0194]
  step 2: [\n\n:0.3147, .:0.2451, \n:0.0702, ,:0.0376,  is:0.0178]
  step 3: [\n\n:0.3000, .:0.2336, \n:0.0521, <space>:0.0381, ,:0.0381]
  step 4: [\n\n:0.4486, .:0.1870, <space>:0.0536, \n:0.0536, ,:0.0325]
  step 5: [\n\n:0.5843, .:0.1477, \n:0.0698, .\n\n:0.0374, \n\t\n:0.0188]
  step 6: [\n\n:0.5841, .:0.1303, \n:0.0790, .\n\n:0.0397, \n\t\n:0.0213]
  step 7: [\n\n:0.5880, .:0.1312, \n:0.0702, .\n\n:0.0426, \n\t\n:0.0214]
  step 8: [\n\n:0.5663, .:0.1432, \n:0.0676, .\n\n:0.0437, \n\t\n:0.0220]
  step 9: [\n\n:0.5422, .:0.1553, \n:0.0648, .\n\n:0.0474, \n\t\n:0.0238]
  step 10: [\n\n:0.5294, .:0.1517, \n:0.0632, .\n\n:0.0524, \n\t\n:0.0233]
  step 11: [\n\n:0.5005, .:0.1625, \n:0.0677, .\n\n:0.0528, \n\t\n:0.0249]
  step 12: [\n\n:0.4814, .:0.1771, \n:0.0612, .\n\n:0.0575, \n\t\n:0.0240]
  step 13: [\n\n:0.4750, .:0.1748, .\n\n:0.0604, \n:0.0604, \n\t\n:0.0237]
  step 14: [\n\n:0.4517, .:0.1883, .\n\n:0.0651, \n:0.0574, \n\t\n:0.0239]
  step 15: [\n\n:0.4243, .:0.2004, .\n\n:0.0693, \n:0.0574, \n\t\n:0.0225]
  step 16: [\n\n:0.4123, .:0.1948, .\n\n:0.0716, \n:0.0594, \n\t\n:0.0233]
  step 17: [\n\n:0.4072, .:0.1924, .\n\n:0.0753, \n:0.0518, \n\t\n:0.0245]
  step 18: [\n\n:0.3672, .:0.2227, .\n\n:0.0819, \n:0.0497, \n\t\n:0.0235]
